Nama Hotel,Harga per malam,Bintang
Casa Coco Resort,IDR 330.341,3
Radika Paradise Villa & Cottage,IDR 737.602,3
Cordia Hotel Yogyakarta - Hotel Dalam Bandara,IDR 456.396,3
Sahid Raya Hotel & Convention Yogyakarta,IDR 473.451,4
The Rich Jogja Hotel,IDR 714.049,4
favehotel Kusumanegara,IDR 929.669,3
Dea Lokha Hotel,IDR 202.760,3
Innside by Melia Yogyakarta,IDR 760.991,4
Platinum Adisucipto Hotel & Conference Center,IDR 685.138,4
PRIMA SR Hotel & Convention,IDR 414.957,3
Ama Awa Resort,IDR 1.013.786,3
ARTOTEL Yogyakarta,IDR 969.761,4
D'Senopati Malioboro Grand Hotel,IDR 670.609,3
Golom Alpha Room by Vivo Apartment,IDR 259.214,3
Allstay Ecotel Yogyakarta,IDR 618.571,3
Khas Tugu Hotel Yogyakarta,IDR 871.586,3
The Atrium Hotel and Resort Yogyakarta,IDR 735.464,4
Garrya Bianti Yogyakarta,IDR 2.547.367,5
ARTOTEL Suites Bianti Yogyakarta,IDR 3.494.380,5
Unisi Hotel Malioboro - Jogja ( Syariah ),IDR 851.858,3
Villa Verde The Garden (Private Pool),IDR 1.740.495,3
Harper Malioboro Yogyakarta by Aston,IDR 1.872.214,4
H Boutique Hotel Yogyakarta,IDR 514.213,3
Grand Senyum Hotel Tugu Yogyakarta,IDR 942.148,4
Paradise Room By Vivo Apartment,IDR 267.767,3
Arte Hotel Malioboro Yogyakarta,IDR 690.082,3
Royal Ambarrukmo Yogyakarta,IDR 1.742.147,5
New Citra Hotel,IDR 184.049,0
Hyatt Regency Yogyakarta,IDR 1.463.519,5
the Amartya Jogjakarta Hotel,IDR 639.029,3
Indoluxe Hotel Jogjakarta,IDR 697.768,4
Ayaartta Hotel Malioboro,IDR 1.021.671,3
YATS Colony,IDR 861.315,3
Alzara Hotel Syariah,IDR 276.991,1
Jambuluwuk Malioboro Hotel Yogyakarta,IDR 1.036.643,5
Grand Zuri Malioboro Yogyakarta,IDR 1.032.686,4
Next Hotel Yogyakarta,IDR 410.820,4
Woodpecker Pavilion Hotel,IDR 406.301,2
RISS HOTEL MALIOBORO,IDR 976.238,4
Kampoeng Joglo Boutique Hotel,IDR 595.784,2
Melia Purosani Yogyakarta,IDR 2.353.305,5
eL Hotel Yogyakarta Malioboro,IDR 1.057.023,4
Mirta V Apartemen Jogja,IDR 295.762,3
RAJAKLANA Resort Villa and Spa,IDR 632.026,3
Ceria Boutique Hotel Yogyakarta,IDR 315.216,3
Homestay Tembi,IDR 223.099,0
The Mulyo,IDR 247.892,0
Ros In Hotel,IDR 424.982,4
Dhipa Kinanthi,IDR 765.495,3
Lumintu Guest House,IDR 227.572,0
Roemah Renjana Oasis Yogyakarta,IDR 1.657.881,3
Abadi Hotel Malioboro Yogyakarta by Tritama Hospitality,IDR 1.020.266,4
Maranatha Grand Hotel Malioboro,IDR 1.004.132,2
Modern House YIA,IDR 222.560,0
Giri Wanara Glamping Resort,IDR 762.395,3
Boutique Villa Jogja Senang,IDR 1.446.280,4
Amaranta Prambanan Yogyakarta,IDR 1.426.373,5
MORAZEN Yogyakarta (formerly Grand Dafam Signature International Airport Yogyakarta),IDR 563.719,4
Royal Darmo Malioboro Hotel,IDR 654.296,4
De Gadri Ndalem Yogyakarta,IDR 325.994,2
Arkamaya Kusuma Resort & Glamping,IDR 1.004.131,3
Fernasya Guest House,IDR 1.334.709,3
Swiss-Belhotel Airport Yogyakarta,IDR 494.545,4
The Arizon @ Malioboro Hotel,IDR 409.049,2
Villa Graha Wisesa 2,IDR 1.999.999,2
Kasmiyem Homestay,IDR 101.687,1
Iran Homestay,IDR 125.632,1
Ceria Hotel Yogyakarta,IDR 543.331,2
Hotel Omah Cepit,IDR 252.479,1
De Nilaya Yogyakarta,IDR 401.611,3
Upala Villa Yogyakarta,IDR 659.999,3
Grand Orchid Hotel Yogyakarta,IDR 388.351,3
Villa Kayu Yogyakarta,IDR 702.053,3
JK Bhavana Villas,IDR 1.999.999,3
Mekar Lestari Cottage,IDR 402.468,2
Novotel Yogyakarta International Airport Kulon Progo,IDR 661.500,4
ArFe Room Apartemen Taman Melati Yogyakarta,IDR 326.896,3
Collection O Kp Inn Yogyakarta,IDR 197.585,2
The Kharma Villas Yogyakarta,IDR 2.305.785,5
Villa Kamar Tamu Piyungan,IDR 501.494,3
Private Villa - Arimbi Resort,IDR 2.563.259,3
Bukit Indah Hotel,IDR 178.904,1
Grand Diamond Hotel Yogyakarta,IDR 1.067.357,4
Cahaya Kasih Malioboro Hotel,IDR 282.644,1
@K Hotel Kaliurang,IDR 537.129,4
OYO 3562 Pondok Inspirasi Minggir,IDR 58.728,2
Baron Lighthouse Cottage & Eatery,IDR 736.042,2
Sawah Tamanan Villa & Resort,IDR 600.247,3
Villa Joglo Kinanti,IDR 3.141.817,3
Kotta GO Yogyakarta,IDR 638.016,3
THE 1O1 Yogyakarta Tugu,IDR 1.318.105,4
Ramada by Wyndham Yogyakarta,IDR 339.291,4
Villa Kamar Tamu Selomartani,IDR 531.643,3
Dparagon Malioboro,IDR 398.305,1
The Westlake Hotel & Resort Yogyakarta,IDR 953.752,4
Asram Edupark,IDR 459.995,2
Studio Room C922 At Malioboro City Apartemen by Jowo Klutuk,IDR 399.167,3
Grand Altuz Hotel Yogyakarta,IDR 1.267.184,4
House of Briel Homestay Jogja,IDR 699.999,3
nDalem Abhirama,IDR 207.170,1
Ndalem Hapsari,IDR 551.156,3
Ibis Yogyakarta International Airport Kulon Progo,IDR 455.000,3
Srikandi Baru Inn Blok O,IDR 218.182,1
Cendhani Raras Gallery,IDR 296.999,0
Penginapan Prambanan TRISAN,IDR 238.057,1
Aveta Hotel Malioboro,IDR 1.340.950,3
Pulang Ke Uttara,IDR 1.319.348,4
Hotel FortunaGrande Seturan Yogyakarta By Fosia Hotels,IDR 842.148,4
RedDoorz near Parangtritis Beach,IDR 206.482,2
Sambi Resort & Spa,IDR 326.810,3
Crystal Lotus Hotel Yogyakarta,IDR 519.762,4
Joglo Mandapa Boutique Hotel & Resto,IDR 484.431,3
STADIO HOSTEL MALIOBORO,IDR 87.199,1
OYO 1959 Penginapan Kepurun Pawana Indonesia,IDR 96.232,2
Mayasari Guest House Pantai Krakal,IDR 209.047,0
Edge Resort Yogyakarta,IDR 1.537.098,3
Griya Zukarnaen Syariah Mitra RedDoorz,IDR 201.077,2
Joglo Plawang Villa & Resort,IDR 472.202,4
Best City Hotel,IDR 386.363,3
Grand Sarila Hotel Yogyakarta,IDR 504.352,3
Kalya Hotel Yogyakarta,IDR 239.568,3
DParagon Perumnas,IDR 211.983,0
Cendana Villa Jogja,IDR 3.082.644,3
Vila Arimbi Pantai Trenggole,IDR 349.999,0
Griya Permata By Cirlo Near UII,IDR 167.314,0
Hotel Wijaya Family 2,IDR 131.177,0
CARANI HOTEL,IDR 332.107,3
Java Village Resort by Homee Yogyakarta,IDR 340.426,3
Ubu Villa Kinanthi,IDR 836.776,3
Tenang Jiwa Villa,IDR 543.739,0
Villa Alcheringa Yogyakarta,IDR 674.950,3
Khas Hotel Malioboro,IDR 762.396,3
RedDoorz @ myRoom UMY,IDR 453.785,2
Serumpun Padi Nogotirto,IDR 324.420,1
Omah Soemantri,IDR 240.836,0
Sawah Joglo Boutique Villa Mitra RedDoorz,IDR 512.576,2
Hotel Widodo 1 Parangtritis RedPartner,IDR 136.844,2
Ubu Villa Nara - Honeymoon Villa,IDR 820.247,3
Hotel Queen Star,IDR 157.491,3
Griya Tetirah Syariah Mitra RedDoorz,IDR 321.042,2
Hotel King Wates Yogyakarta,IDR 163.636,1
Rosalyne Sleepbox Tugu 2,IDR 73.307,1
OYO 1718 Homestay Wak Gobenk,IDR 130.620,2
WISMA KUSUMA HOTEL,IDR 237.603,0
HOTEL DEWATA YIA KULONPROGO,IDR 113.161,2
Yukke Tembi Homestay,IDR 358.433,2
RedDoorz @ Omah Candi Sari near Airport YIA,IDR 251.935,2
Wisma Sanggrahan,IDR 184.555,2
Sheraton Mustika Yogyakarta Resort & Spa,IDR 1.245.000,5
Kost Eksklusif Teduh,IDR 200.826,0
Yogyakarta Marriott Hotel,IDR 1.470.000,5
Hotel Hapsari Syariah,IDR 214.313,0
Litto (Little Tokyo) Resort and Resto,IDR 743.760,4
Villa Syariah Grand Bale with Private Pool by Simply Homy,IDR 1.799.999,2
Merapi Merbabu Hotel Yogyakarta Powered by Archipelago,IDR 497.738,4
d'Omah Hotel Yogyakarta,IDR 726.013,3
Akasa Hotel Kaliurang,IDR 390.712,2
Loman Park Hotel Yogyakarta,IDR 905.023,4
RedDoorz Syariah near Sleman City Hall 4,IDR 154.323,2
Twin House near UII Yogyakarta Mitra RedDoorz,IDR 405.652,2
Saira Hotel dan Homestay Syariah,IDR 248.144,3
The Allabun Kaliurang Yogyakarta,IDR 477.798,2
Abhayagiri - SWH Resort,IDR 931.268,4
Homestay Rumah Bahagia Cepor,IDR 100.641,0
1O1 STYLE Yogyakarta Malioboro,IDR 727.395,4
Homestay Jogja Rumah Obit By Simply Homy,IDR 799.999,0
Nabhan Homestay,IDR 87.976,1
Full House 2 bedroom Delavega Guest House 2,IDR 671.280,2
Menoreh Farm Stay,IDR 442.609,2
Malyabhara Hotel (Formely Ibis Malioboro),IDR 1.285.950,3
The Maguwo Premiere,IDR 222.241,0
Sundak Beach House 3,IDR 1.036.362,3
Omah Rumba Bata,IDR 317.989,2
Grand Kangen Hotel Urip Sumoharjo Yogyakarta,IDR 618.935,3
The Lavana Greenkhaza Villa Jogja,IDR 1.378.763,4
Penginapan Rudi Syariah,IDR 94.742,0
The Homey Rooms and Tours,IDR 223.140,1
Bahagia Sederhana Homestay,IDR 166.164,0
Villa Alzara,IDR 1.999.999,2
Adinda Beach Hotel and Villa,IDR 142.516,1
Djawata Resort & Gallery near Desa Wisata Kasongan Yogyakarta RedPartner,IDR 578.512,2
OYO 2047 Opak Village Bed & Breakfast,IDR 122.048,2
Omah Mbah Mandor by The Lavana,IDR 870.431,4
Pondok Gajah Hotel,IDR 274.128,1
Jiwa Laut,IDR 603.818,0
Urbanview keTemon Hotel & Resto YIA by RedDoorz,IDR 319.423,3
Arkamaya Kusuma Resort,IDR 890.260,4
Villa Joglo Paris,IDR 581.201,0
Home 88 Feels Like Home,IDR 165.289,1
The Victoria Hotel Yogyakarta,IDR 605.514,4
RedDoorz @ Paris Ocean,IDR 128.971,2
FNF HOMESTAY,IDR 541.322,0
The Royal Joglo,IDR 333.358,1
Vivo Apartemen by One Room,IDR 268.830,3
Sofia Boutique Residence,IDR 918.947,4
Sans Hotel Absari Yogyakarta,IDR 295.420,3
Blarak Villa,IDR 669.420,3
Angelinas room at Malioboro City Apartemen,IDR 211.912,3
Omahe Kancaku,IDR 514.145,2
Wisma Pancoeran,IDR 371.859,3
Kampoeng Media Resort Yogyakarta,IDR 267.613,1
RedDoorz @ Omah Kayu Homestay Yogyakarta,IDR 507.302,2
Ubu Villa Donolayan,IDR 1.568.429,2
Kebon Krapyak Cottage Syariah Mitra RedDoorz near Stadion Maguwoharjo,IDR 174.019,2
Premier Homestay Syariah,IDR 521.159,0
TZY-NO Cottage Yogyakarta,IDR 575.404,2
Hotel Poncowinatan - Tugu Yogyakarta,IDR 227.602,1
Grand Rohan Jogja,IDR 2.533.387,4
Horison Lynn Hotel Yogyakarta,IDR 465.123,3
Rimbono Homestay,IDR 183.382,1
Wisma Handayani Syariah Mitra RedDoorz near RSUD Wonosari,IDR 375.228,2
RedDoorz near Museum Gunung Merapi,IDR 361.180,2
Hotel Kampoeng Drini RedPartner,IDR 286.601,2
nDalem Joglo Krawitan Syariah,IDR 266.869,2
RedDoorz Syariah near Stasiun Wates,IDR 425.142,2
Ubu Villa Prambanan,IDR 1.360.471,0
RedDoorz @ Pondok Eyang Obi Sleman,IDR 528.036,2
Homestay Banyumili,IDR 50.949,1
"TwoSpaces Living at Pondok Pakde, Jogja",IDR 320.608,1
Malioboro Prime Yogyakarta,IDR 823.894,3
POP! Hotel Sangaji Yogyakarta,IDR 446.280,2
"Homestay Segitiga, Gunung Ireng, Jogjakarta",IDR 268.843,3
Noola Hotel Malioboro,IDR 374.138,2
Sampai Villa Santiva,IDR 2.170.349,3
Rumah Jembarati,IDR 347.106,3
Kembang Legi Jogja,IDR 260.330,0
Rumah Tea (2BR),IDR 468.181,2
Dewisri Homestay,IDR 109.147,1
Bueno Colombo Hotel,IDR 433.743,3
Palem Merah Maguwo Premiere,IDR 223.140,1
Sunrise Hotel Jogja,IDR 210.377,1
Villa Felice Jogja,IDR 1.734.447,0
The Kingston Inn,IDR 468.594,2
Villa Mak Cik,IDR 301.238,3
Griya 90TR Syariah,IDR 75.438,1
Kamala House,IDR 128.027,1
POP! Hotel Timoho Yogyakarta,IDR 334.709,2
GAIA Cosmo Hotel,IDR 999.760,4
Omah Teras Bata Guesthouse,IDR 349.310,1
Lamiera Homestay,IDR 744.293,2
Dmoon Villa,IDR 465.825,0
Oemah Wisata RinginSari,IDR 2.431.411,3
Rumah Mertua Heritage,IDR 797.000,2
@House Of Belva,IDR 548.274,0
Ndalem Maharani Guest House,IDR 296.621,1
Cavinton Hotel Malioboro Yogyakarta by Tritama Hospitality,IDR 474.270,4
Budi Bambu Homestay Yogyakarta Bangunjiwo Mitra RedDoorz,IDR 277.619,2
Amors Jiwanta,IDR 241.694,2
Villa Padi (4-BR) Pakem Yogyakarta,IDR 1.279.111,3
Griya Salaman Pantai Wediombo Homestay,IDR 158.057,1
Urbanview Hotel Syariah Hapsari YIA,IDR 226.342,3
Villa Samara,IDR 351.891,2
The Malioboro Hotel and Conference Center Yogyakarta,IDR 2.334.963,4
Hotel Andono near YIA Mitra RedDoorz,IDR 231.396,2
The Si Ndoro Suite Patraland Amarta Apartment,IDR 399.999,3
Amaris Hotel Malioboro,IDR 784.800,2
RedDoorz near Candi Ratu Boko 2,IDR 189.242,2
Apartment UTTARA by Indoroom,IDR 782.318,3
Urbanview Hotel Nardis Living,IDR 636.707,3
Grand Keisha Yogyakarta,IDR 1.220.261,4
dSadin Villa with Private Pool,IDR 1.247.107,0
Royal Brongto Hotel,IDR 360.588,3
TERRA Guesthouse JEC Mitra RedDoorz,IDR 565.854,2
Signature Jogja,IDR 231.403,1
SPOT ON 93597 Syagita Kos & Penginapan Syariah,IDR 41.319,2
RedDoorz Syariah @ Omah Sawah,IDR 270.454,2
RedDoorz @ Jalan Wonosari KM.9,IDR 100.578,2
Puri Brata,IDR 384.545,3
Sangkar Cottage & Eatery,IDR 1.278.595,3
Disaster Oasis,IDR 472.314,3
Sans Hotel Pippo Yogyakarta by RedDoorz,IDR 254.915,3
POP! Hotel Malioboro - Yogyakarta,IDR 628.098,2
Hotel Family Syariah 1,IDR 158.358,1
UNY Hotel Yogyakarta,IDR 370.071,3
The Cabin Bungalow,IDR 181.189,2
Neng Omah Pandansari,IDR 1.365.218,0
Villa Padi Pakem Yogyakarta,IDR 1.071.073,3
Larasati Homestay,IDR 203.253,1
RedDoorz @ Jakal Atas KM 10,IDR 444.318,2
Satoria Hotel Yogyakarta,IDR 629.286,4
Narendra Homestay,IDR 90.726,1
Tirta Kencana Hotel,IDR 223.894,0
Sendangarum Village Guest House Jogja,IDR 136.364,0
Sri Homestay,IDR 138.878,1
Homestay Jemiran,IDR 149.477,1
RedDoorz Near Universitas Islam Indonesia,IDR 269.186,2
Royal Malioboro by Aston,IDR 2.636.694,4
Roemah Kita Boutique Hotel Yogyakarta,IDR 223.140,1
OYO 92521 Guest House Inayah Syariah,IDR 90.147,2
The Samirono,IDR 723.852,2
Endro Homestay,IDR 128.336,2
"Vila Cavendis, Banana Leaf Vila",IDR 877.114,3
Villa Saluka,IDR 832.086,2
Villa Joglo Paris,IDR 729.982,4
Student Park Hotel,IDR 430.991,3
Rumah Singgah Peziarah Ganjuran,IDR 94.837,1
Griya Erlangga Homestay,IDR 77.913,1
Villa Watu Kodok,IDR 1.227.271,3
"De Laxston Hotel Yogyakarta, Azana Hotels Collection",IDR 600.261,3
Swaripuna by Nandara Hospitality,IDR 1.332.824,2
